ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
272	25	1	2	0.000000	26.760000	26.120000	0.000000	0.000000	0	0	0
273	1274	2	2	0.000000	12.551805	11.240973	0.000000	0.000000	0	0	0
274	21	1	1	0.000000	17.809524	12.857143	0.000000	0.000000	0	0	0
275	12	2	1	0.000000	17.166667	16.833333	0.000000	0.000000	0	0	0
276	2	2	1	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
277	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
278	33	2	2	0.000000	15.151515	14.636364	0.000000	0.000000	0	0	0
279	21	1	1	0.000000	12.666667	12.238095	0.000000	0.000000	0	0	0
280	9	1	1	0.000000	14.111111	14.000000	0.000000	0.000000	0	0	0
281	6	2	2	0.000000	13.333333	13.333333	0.000000	0.000000	0	0	0
282	6	1	1	0.000000	12.000000	12.000000	0.000000	0.000000	0	0	0
283	46	2	2	0.000000	11.260870	11.043478	0.000000	0.000000	0	0	0
284	17	2	1	0.000000	10.647059	9.941176	0.000000	0.000000	0	0	0
285	75	2	2	0.000000	14.106667	12.266667	0.000000	0.000000	0	0	0
286	21	1	1	0.000000	15.761905	2.952381	0.000000	0.000000	0	0	0
287	13	1	1	0.000000	13.615385	8.076923	0.000000	0.000000	0	0	0
288	6	1	2	0.000000	17.166667	16.166667	0.000000	0.000000	0	0	0
289	16	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
290	4	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
291	1	1	2	0.000000	17.000000	16.000000	0.000000	0.000000	0	0	0
292	7	1	1	0.000000	13.285714	13.285714	0.000000	0.000000	0	0	0
293	22	1	1	0.000000	12.090909	12.090909	0.000000	0.000000	0	0	0
294	26	1	1	0.000000	14.500000	8.538462	0.000000	0.000000	0	0	0
295	3	2	1	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
296	6	1	1	0.000000	17.500000	17.500000	0.000000	0.000000	0	0	0
297	2	2	2	0.000000	32.000000	32.000000	0.000000	0.000000	0	0	0
298	13	1	1	0.000000	18.230769	18.230769	0.000000	0.000000	0	0	0
299	4	2	2	0.000000	20.750000	19.500000	0.000000	0.000000	0	0	0
300	39	2	2	0.000000	28.128205	15.333333	0.000000	0.000000	0	0	0
301	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
302	28	1	2	0.000000	12.071429	10.857143	0.000000	0.000000	0	0	0
303	28	1	1	0.000000	18.071429	17.250000	0.000000	0.000000	0	0	0
304	2540	2	2	0.000000	15.540551	13.717717	0.000000	0.000000	0	0	0
305	1369	2	2	0.000000	14.877283	13.338934	0.000000	0.000000	0	0	0
306	2	2	1	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
307	7	2	1	0.000000	15.285714	15.285714	0.000000	0.000000	0	0	0
308	11	1	1	0.000000	15.272727	15.272727	0.000000	0.000000	0	0	0
309	45	1	1	0.000000	9.977778	9.688889	0.000000	0.000000	0	0	0
310	443	1	2	0.000000	19.354402	17.020316	0.000000	0.000000	0	0	0
311	8	2	1	0.000000	29.875000	20.375000	0.000000	0.000000	0	0	0
312	3	2	1	0.000000	30.333333	30.333333	0.000000	0.000000	0	0	0
313	10	1	1	0.000000	20.000000	18.600000	0.000000	0.000000	0	0	0
314	21	1	1	0.000000	15.523810	15.428571	0.000000	0.000000	0	0	0
315	4	1	1	0.000000	19.250000	17.750000	0.000000	0.000000	0	0	0
316	21	1	1	0.000000	7.285714	7.285714	0.000000	0.000000	0	0	0
317	26	1	2	0.000000	16.692308	15.692308	0.000000	0.000000	0	0	0
318	2	2	2	0.000000	34.000000	33.000000	0.000000	0.000000	0	0	0
319	2	1	1	0.000000	15.500000	15.000000	0.000000	0.000000	0	0	0
320	29	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
321	7	2	2	0.000000	10.571429	10.571429	0.000000	0.000000	0	0	0
322	4	1	1	0.000000	11.500000	11.500000	0.000000	0.000000	0	0	0
323	8	1	1	0.000000	14.875000	14.875000	0.000000	0.000000	0	0	0
324	46	1	2	0.000000	16.304348	14.521739	0.000000	0.000000	0	0	0
325	21	1	1	0.000000	13.095238	13.095238	0.000000	0.000000	0	0	0
326	1958	2	1	0.000000	15.265066	13.510215	0.000000	0.000000	0	0	0
327	2	2	2	0.000000	23.000000	17.000000	0.000000	0.000000	0	0	0
328	50	2	1	0.000000	21.040000	15.840000	0.000000	0.000000	0	0	0
329	5	1	1	0.000000	17.200000	15.600000	0.000000	0.000000	0	0	0
330	3	1	2	0.000000	32.000000	31.666667	0.000000	0.000000	0	0	0
331	1	1	3	0.000000	48.000000	48.000000	0.000000	0.000000	0	0	0
332	1	1	2	0.000000	75.000000	74.000000	0.000000	0.000000	0	0	0
333	5	1	1	0.000000	16.800000	15.800000	0.000000	0.000000	0	0	0
334	124	2	2	0.000000	18.870968	16.806452	0.000000	0.000000	0	0	0
335	13	2	1	0.000000	20.153846	19.769231	0.000000	0.000000	0	0	0
336	3	2	1	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
337	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
338	1	1	2	0.000000	17.000000	16.000000	0.000000	0.000000	0	0	0
339	3	1	2	0.000000	18.000000	16.000000	0.000000	0.000000	0	0	0
340	11	1	2	0.000000	17.545455	14.545455	0.000000	0.000000	0	0	0
341	6456	2	2	0.000000	15.619269	14.023854	0.000000	0.000000	0	0	0
342	46	1	1	0.000000	17.173913	16.086957	0.000000	0.000000	0	0	0
343	21	1	1	0.000000	11.714286	8.142857	0.000000	0.000000	0	0	0
344	285	2	1	0.000000	18.108772	16.263158	0.000000	0.000000	0	0	0
345	80	1	2	0.000000	16.037500	14.725000	0.000000	0.000000	0	0	0
346	8	2	2	0.000000	27.500000	26.875000	0.000000	0.000000	0	0	0
347	2	1	1	0.000000	27.500000	27.500000	0.000000	0.000000	0	0	0
348	13	2	1	0.000000	14.000000	13.615385	0.000000	0.000000	0	0	0
349	2319	2	2	0.000000	14.670548	13.063389	0.000000	0.000000	0	0	0
350	1	2	1	0.000000	33.000000	15.000000	0.000000	0.000000	0	0	0
351	27	2	1	0.000000	9.962963	9.592593	0.000000	0.000000	0	0	0
352	4	1	1	0.000000	14.500000	13.500000	0.000000	0.000000	0	0	0
353	6	1	1	0.000000	17.666667	17.666667	0.000000	0.000000	0	0	0
354	5	2	2	0.000000	18.800000	17.200000	0.000000	0.000000	0	0	0
355	5	1	1	0.000000	17.800000	15.800000	0.000000	0.000000	0	0	0
356	3	2	2	0.000000	19.333333	17.333333	0.000000	0.000000	0	0	0
357	2	2	1	0.000000	19.500000	17.500000	0.000000	0.000000	0	0	0
358	11	1	1	0.000000	20.818182	19.545455	0.000000	0.000000	0	0	0
359	3	3	2	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
360	5	1	1	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
361	2	1	2	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
362	9	2	2	0.000000	21.777778	21.777778	0.000000	0.000000	0	0	0
363	7	1	1	0.000000	5.571429	4.571429	0.000000	0.000000	0	0	0
364	9	1	1	0.000000	5.111111	5.111111	0.000000	0.000000	0	0	0
365	24	1	1	0.000000	15.375000	14.333333	0.000000	0.000000	0	0	0
366	5	2	2	0.000000	37.600000	37.200000	0.000000	0.000000	0	0	0
367	2692	1	1	0.000000	16.833210	14.953938	0.000000	0.000000	0	0	0
368	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
369	3	1	2	0.000000	17.000000	16.000000	0.000000	0.000000	0	0	0
370	4	1	2	0.000000	18.750000	17.750000	0.000000	0.000000	0	0	0
371	39	2	2	0.000000	19.666667	15.102564	0.000000	0.000000	0	0	0
372	8	1	1	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
373	1	2	1	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
374	5	1	2	0.000000	15.200000	15.200000	0.000000	0.000000	0	0	0
375	17	1	2	0.000000	15.176471	15.176471	0.000000	0.000000	0	0	0
376	50	1	1	0.000000	18.160000	15.940000	0.000000	0.000000	0	0	0
377	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
378	6	1	1	0.000000	11.333333	11.333333	0.000000	0.000000	0	0	0
379	2	1	2	0.000000	27.000000	27.000000	0.000000	0.000000	0	0	0
380	4	1	2	0.000000	28.500000	27.500000	0.000000	0.000000	0	0	0
381	3	1	2	0.000000	30.666667	29.666667	0.000000	0.000000	0	0	0
382	1749	2	2	0.000000	15.221269	13.344197	0.000000	0.000000	0	0	0
383	1370	2	0	0.000000	14.374453	13.008759	0.000000	0.000000	0	0	0
384	21	1	1	0.000000	19.380952	18.761905	0.000000	0.000000	0	0	0
385	47	1	1	0.000000	14.851064	10.744681	0.000000	0.000000	0	0	0
386	19	1	1	0.000000	10.578947	10.578947	0.000000	0.000000	0	0	0
387	207	2	2	0.000000	12.371981	10.671498	0.000000	0.000000	0	0	0
388	1	2	2	0.000000	19.000000	18.000000	0.000000	0.000000	0	0	0
389	44	2	1	0.000000	16.181818	14.681818	0.000000	0.000000	0	0	0
390	21	1	1	0.000000	15.047619	10.428571	0.000000	0.000000	0	0	0
391	5	2	2	0.000000	47.400000	40.000000	0.000000	0.000000	0	0	0
392	2	1	1	0.000000	32.000000	29.000000	0.000000	0.000000	0	0	0
393	29	2	2	0.000000	37.448276	34.724138	0.000000	0.000000	0	0	0
394	4	1	1	0.000000	15.500000	15.500000	0.000000	0.000000	0	0	0
395	9	1	2	0.000000	28.333333	28.333333	0.000000	0.000000	0	0	0
396	1	1	1	0.000000	17.000000	16.000000	0.000000	0.000000	0	0	0
397	2	1	2	0.000000	18.000000	17.000000	0.000000	0.000000	0	0	0
398	5	1	1	0.000000	19.400000	19.400000	0.000000	0.000000	0	0	0
399	6	2	3	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
400	1091	2	2	0.000000	13.934922	12.207149	0.000000	0.000000	0	0	0
401	2	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
402	1	1	2	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
403	4	1	2	0.000000	12.750000	12.750000	0.000000	0.000000	0	0	0
404	2	2	2	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
405	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
406	2	2	2	0.000000	46.000000	16.000000	0.000000	0.000000	0	0	0
407	7	1	2	0.000000	14.857143	12.857143	0.000000	0.000000	0	0	0
408	61	2	1	0.000000	19.983607	17.688525	0.000000	0.000000	0	0	0
409	3	1	1	0.000000	18.000000	17.333333	0.000000	0.000000	0	0	0
410	1	2	2	0.000000	32.000000	27.000000	0.000000	0.000000	0	0	0
411	1	2	1	0.000000	30.000000	25.000000	0.000000	0.000000	0	0	0
412	16	1	1	0.000000	15.125000	13.937500	0.000000	0.000000	0	0	0
413	4	1	2	0.000000	16.000000	12.500000	0.000000	0.000000	0	0	0
414	7	1	1	0.000000	17.142857	16.428571	0.000000	0.000000	0	0	0
415	12	1	1	0.000000	18.416667	15.166667	0.000000	0.000000	0	0	0
416	1	2	2	0.000000	17.000000	16.000000	0.000000	0.000000	0	0	0
417	39	1	1	0.000000	15.102564	14.384615	0.000000	0.000000	0	0	0
418	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
419	8	1	2	0.000000	14.125000	11.875000	0.000000	0.000000	0	0	0
420	7	1	2	0.000000	13.714286	9.714286	0.000000	0.000000	0	0	0
421	97	2	1	0.000000	13.144330	11.474227	0.000000	0.000000	0	0	0
422	6	1	1	0.000000	15.666667	14.666667	0.000000	0.000000	0	0	0
423	16	1	1	0.000000	7.875000	7.875000	0.000000	0.000000	0	0	0
424	2	2	1	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
425	14	2	2	0.000000	11.571429	10.571429	0.000000	0.000000	0	0	0
426	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
427	21	1	1	0.000000	16.142857	15.904762	0.000000	0.000000	0	0	0
428	9	1	1	0.000000	13.777778	13.000000	0.000000	0.000000	0	0	0
429	351	2	2	0.000000	13.239316	11.310541	0.000000	0.000000	0	0	0
430	11	2	1	0.000000	15.181818	15.181818	0.000000	0.000000	0	0	0
431	4	1	1	0.000000	15.750000	15.750000	0.000000	0.000000	0	0	0
432	333	2	2	0.000000	15.600601	13.600601	0.000000	0.000000	0	0	0
433	2	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
434	16	2	2	0.000000	16.312500	5.500000	0.000000	0.000000	0	0	0
435	21	1	1	0.000000	13.047619	10.809524	0.000000	0.000000	0	0	0
436	850	2	2	0.000000	16.635294	14.912941	0.000000	0.000000	0	0	0
437	1	2	1	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
438	3	2	1	0.000000	19.666667	19.666667	0.000000	0.000000	0	0	0
439	1	1	1	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
440	9	1	2	0.000000	16.222222	16.222222	0.000000	0.000000	0	0	0
441	1	3	2	0.000000	33.000000	33.000000	0.000000	0.000000	0	0	0
442	1	1	1	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
443	1	1	1	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
444	3	1	2	0.000000	16.333333	16.000000	0.000000	0.000000	0	0	0
445	13	2	1	0.000000	12.846154	10.538462	0.000000	0.000000	0	0	0
446	8	1	1	0.000000	10.000000	9.500000	0.000000	0.000000	0	0	0
447	13	1	2	0.000000	12.153846	11.230769	0.000000	0.000000	0	0	0
448	9	1	1	0.000000	9.444444	9.444444	0.000000	0.000000	0	0	0
449	1	2	2	0.000000	57.000000	57.000000	0.000000	0.000000	0	0	0
450	1	3	1	0.000000	57.000000	57.000000	0.000000	0.000000	0	0	0
451	1	1	1	0.000000	42.000000	42.000000	0.000000	0.000000	0	0	0
452	1	2	2	0.000000	44.000000	44.000000	0.000000	0.000000	0	0	0
453	34	2	1	0.000000	21.176471	18.617647	0.000000	0.000000	0	0	0
454	33	1	2	0.000000	15.303030	14.060606	0.000000	0.000000	0	0	0
455	104	2	2	0.000000	12.673077	11.673077	0.000000	0.000000	0	0	0
456	1	2	1	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
457	5	1	1	0.000000	17.200000	15.400000	0.000000	0.000000	0	0	0
458	21	1	1	0.000000	14.619048	13.000000	0.000000	0.000000	0	0	0
459	13	2	1	0.000000	17.384615	17.384615	0.000000	0.000000	0	0	0
460	8	1	1	0.000000	13.125000	13.125000	0.000000	0.000000	0	0	0
461	3	1	1	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
462	1	1	3	0.000000	47.000000	36.000000	0.000000	0.000000	0	0	0
463	1	3	2	0.000000	42.000000	31.000000	0.000000	0.000000	0	0	0
464	2	2	1	0.000000	31.500000	29.500000	0.000000	0.000000	0	0	0
465	1	2	1	0.000000	31.000000	28.000000	0.000000	0.000000	0	0	0
466	3	2	1	0.000000	30.666667	27.666667	0.000000	0.000000	0	0	0
467	1354	1	2	0.000000	16.201625	14.541359	0.000000	0.000000	0	0	0
468	40	1	1	0.000000	18.100000	16.525000	0.000000	0.000000	0	0	0
469	4	1	2	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
470	6	1	2	0.000000	18.833333	18.666667	0.000000	0.000000	0	0	0
471	1211	2	2	0.000000	16.127168	14.566474	0.000000	0.000000	0	0	0
472	1	2	1	0.000000	14.000000	13.000000	0.000000	0.000000	0	0	0
473	11	2	1	0.000000	13.818182	13.636364	0.000000	0.000000	0	0	0
474	4	1	1	0.000000	14.750000	14.750000	0.000000	0.000000	0	0	0
475	3	1	1	0.000000	14.666667	14.333333	0.000000	0.000000	0	0	0
476	65	2	1	0.000000	23.323077	20.984615	0.000000	0.000000	0	0	0
477	13	1	1	0.000000	18.923077	17.076923	0.000000	0.000000	0	0	0
478	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
479	533	2	2	0.000000	16.388368	14.433396	0.000000	0.000000	0	0	0
480	391	2	2	0.000000	13.470588	11.869565	0.000000	0.000000	0	0	0
481	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
482	5	1	1	0.000000	16.200000	16.200000	0.000000	0.000000	0	0	0
483	3588	2	1	0.000000	15.294036	13.724916	0.000000	0.000000	0	0	0
